BRK;ORA ZP_X_IND;NULL;NULL;ORA ZP;ASL ZP;PHP;ORA S;ASL A;NULL;ORA A;ASL A;
BPL R;ORA ZP_IND_Y;NULL;NULL;ORA ZP_X;ASL ZP_X;CLC;ORA ZP_Y;NULL;NULL;ORA A_X;ASL A_X;
JSR A;AND ZP_X_IND;NULL;BIT ZP;AND ZP;ROL ZP;PLP;AND S;ROL A;BIT A;AND A;ROL A;
BMI R;AND ZP_IND_Y;NULL;NULL;AND ZP_X;ROL ZP_X;SEC;AND ZP_Y;NULL;NULL;AND A_X;ROL A_X;
RTI;EOR ZP_X_IND;NULL;NULL;EOR ZP;LSR ZP;PHA;EOR S;LSR A;JMP A;EOR A;LSR A;
BVC R;EOR ZP_IND_Y;NULL;NULL;EOR ZP_X;LSR ZP_X;CLI;EOR ZP_Y;NULL;NULL;EOR A_X;LSR A_X;
RTS;ADC ZP_X_IND;NULL;NULL;ADC ZP;ROR ZP;PLA;ADC S;ROR A;JMP A_IND;ADC A;ROR A;
BVS R;ADC ZP_IND_Y;NULL;NULL;ADC ZP_X;ROR ZP_X;SEI;ADC ZP_Y;NULL;NULL;ADC A_X;ROR A_X;
NULL;STA ZP_X_IND;NULL;STY ZP;STA ZP;STX ZP;DEY;NULL;TXA;STY A;STA A;STX A;
BCC R;STA ZP_IND_Y;NULL;STY ZP_X;STA ZP_X;STX ZP_Y;TYA;STA ZP_Y;TXS;NULL;STA A_X;NULL;
LDY S;LDA ZP_X_IND;LDX S;LDY ZP;LDA ZP;LDX ZP;TAY;LDA S;TAX;LDY A;LDA A;LDX A;
BCS R;LDA ZP_IND_Y;NULL;LDY ZP_X;LDA ZP_X;LDX ZP_Y;CLV;LDA ZP_Y;TSX;LDY A_X;LDA A_X;LDX A_Y;
CPY S;CMP ZP_X_IND;NULL;CPY ZP;CMP ZP;DEC ZP;INY;CMP S;DEX;CPY A;CMP A;DEC A;
BNE R;CMPZP_IND_Y;NULL;NULL;CMP ZP_X;DEC ZP_X;CLD;CMP ZP_Y;NULL;NULL;CMP A_X;DEC A_X;
CPX S;SBC ZP_X_IND;NULL;CPX ZP;SBC ZP;INC ZP;INX;SBC S;NOP;CPX A;SBC A;INC A;
BEQ R;SBC ZP_IND_Y;NULL;NULL;SBC ZP_X;INC ZP_X;SED;SBC ZP_Y;NULL;NULL;SBC A_X;INC A_X;
